,CountyId,State,County,TotalPop,Percent_Women,Hispanic,White,Black,Income,IncomePerCap,Professional,Service,Production,Carpool,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,Unemployment,Poverty,ChildPoverty,Poverty Category,Child_Poverty Category
0,1001,Alabama,Autauga County,55036.0,51.12471836616032,2.7,75.4,18.9,55317,27824,35.3,18.0,15.4,9.6,2.5,25.8,74.1,20.2,5.6,5.2,13.7,20.1,0,0
1,1003,Alabama,Baldwin County,203360.0,51.058713611329665,4.4,83.1,9.5,52562,29364,35.7,18.2,10.8,7.6,5.6,27.0,80.7,12.9,6.3,5.5,11.8,16.1,0,0
2,1007,Alabama,Bibb County,22580.0,45.74402125775022,2.4,74.6,22.0,43404,20911,24.4,17.6,22.4,9.5,1.5,30.0,76.0,17.4,6.3,8.2,15.2,26.6,0,1
3,1009,Alabama,Blount County,57667.0,50.59566129675551,9.0,87.4,1.5,47412,22021,28.5,12.9,19.5,10.2,2.1,35.0,83.9,11.9,4.0,4.9,15.6,25.4,0,1
4,1011,Alabama,Bullock County,10478.0,46.40198511166253,0.3,21.6,75.6,29655,20856,19.7,17.1,30.6,15.7,3.0,29.8,81.4,13.6,5.0,12.1,28.5,50.4,1,1
5,1013,Alabama,Butler County,20126.0,53.214747093312134,0.3,52.2,44.7,36326,19004,26.9,17.3,25.7,12.6,2.0,23.2,79.1,15.3,5.3,7.6,24.4,34.8,1,1
6,1015,Alabama,Calhoun County,115527.0,51.87878158352592,3.6,72.7,20.4,43686,23638,29.0,17.5,19.4,9.2,3.2,24.8,74.9,19.9,5.1,10.1,18.6,26.6,1,1
7,1017,Alabama,Chambers County,33895.0,51.85130550228647,2.2,56.2,39.3,37342,22002,24.3,13.5,27.6,9.7,2.0,23.6,84.5,11.8,3.7,6.4,18.8,29.1,1,1
8,1019,Alabama,Cherokee County,25855.0,50.2533359118159,1.6,91.8,5.0,40041,23010,28.8,14.8,26.5,12.1,2.0,26.5,74.8,17.1,8.1,5.3,16.1,20.0,0,0
9,1021,Alabama,Chilton County,43805.0,50.79557128181714,7.7,80.4,9.5,43501,23368,25.3,14.5,21.0,12.6,1.7,32.5,81.1,14.0,4.5,6.7,19.4,27.8,1,1
10,1023,Alabama,Choctaw County,13188.0,52.403700333636635,0.5,56.3,42.1,32122,20994,23.6,15.4,21.9,13.7,1.6,32.7,79.9,14.8,4.9,9.8,22.3,32.8,1,1
11,1027,Alabama,Clay County,13407.0,51.734168717833974,3.1,80.2,14.7,37287,21330,22.2,14.6,31.9,6.0,3.0,30.3,77.8,14.5,7.7,6.4,19.1,23.5,1,1
12,1029,Alabama,Cleburne County,14939.0,50.68612356918134,2.4,92.7,2.8,37396,20873,25.7,11.4,21.7,14.5,2.7,33.2,76.1,15.7,8.2,7.8,19.1,31.0,1,1
13,1031,Alabama,Coffee County,51073.0,50.609911303428426,6.7,71.0,17.1,49821,26216,31.6,17.3,16.7,8.1,2.8,21.7,73.6,20.7,5.6,6.0,16.1,26.3,0,1
14,1033,Alabama,Colbert County,54435.0,51.97391384219712,2.4,78.8,15.9,45477,23675,27.1,15.4,20.3,7.3,2.0,23.1,78.1,16.1,5.5,6.9,16.8,24.1,1,1
15,1035,Alabama,Conecuh County,12649.0,52.249189659261596,1.8,50.3,46.3,30434,16337,15.9,19.7,27.4,6.7,1.7,29.6,79.5,12.3,7.2,14.5,26.4,39.3,1,1
16,1039,Alabama,Covington County,37519.0,51.66982062421707,1.6,83.5,13.0,39467,22431,29.2,14.3,18.4,8.6,1.9,25.2,80.0,13.2,6.7,10.7,17.6,25.0,1,1
17,1041,Alabama,Crenshaw County,13866.0,51.06014712245781,1.8,71.2,23.1,38937,21580,26.4,13.1,23.3,12.2,4.0,28.6,73.0,19.1,7.8,6.4,17.6,22.5,1,0
18,1043,Alabama,Cullman County,81703.0,50.76924959915793,4.2,92.3,1.1,40997,21857,29.3,14.6,18.6,8.4,2.0,26.5,81.3,11.9,6.3,5.8,16.4,19.6,0,0
19,1045,Alabama,Dale County,49393.0,50.349239770817725,6.1,69.5,19.2,44711,23194,28.2,15.3,16.1,6.7,2.2,20.7,73.6,20.7,5.6,10.4,19.6,27.2,1,1
20,1049,Alabama,DeKalb County,71194.0,50.37784082928337,14.3,80.8,1.4,38842,20020,23.7,15.2,28.0,9.8,2.1,23.2,78.0,12.1,9.7,5.1,21.5,31.0,1,1
21,1051,Alabama,Elmore County,80989.0,51.40451172381435,2.9,73.4,21.2,54981,26251,34.8,13.2,14.7,10.2,2.2,28.0,72.9,21.4,5.6,7.3,13.5,20.4,0,0
22,1055,Alabama,Etowah County,103132.0,51.772485746422056,3.7,78.3,15.4,42064,22278,29.7,18.5,20.5,9.2,4.4,24.0,80.3,13.9,5.5,7.6,17.9,28.7,1,1
23,1059,Alabama,Franklin County,31507.0,49.79528358777415,16.3,77.7,4.7,39501,19314,24.4,13.9,28.7,10.1,1.9,28.4,78.5,15.6,6.0,8.2,23.0,42.0,1,1
24,1061,Alabama,Geneva County,26572.0,51.046214059912685,3.8,84.0,9.2,39293,21084,22.9,17.3,19.3,10.3,3.1,27.2,73.8,16.5,9.4,8.9,22.5,37.6,1,1
25,1065,Alabama,Hale County,14995.0,52.99099699899966,1.3,39.5,58.7,34679,20269,27.6,18.3,20.1,5.9,1.9,29.9,82.1,12.6,5.2,11.7,26.1,37.7,1,1
26,1069,Alabama,Houston County,104108.0,52.064202558881156,3.2,67.2,26.5,42803,24781,31.1,18.6,14.3,6.9,2.3,21.3,81.9,12.1,5.8,7.6,18.5,29.5,1,1
27,1073,Alabama,Jefferson County,659460.0,52.638067509780726,3.7,50.4,42.4,49321,29456,38.8,16.9,11.6,9.4,2.8,23.8,81.8,13.5,4.5,7.7,17.6,25.6,1,1
28,1083,Alabama,Limestone County,91695.0,49.95474126179181,5.8,77.2,13.1,52831,26685,36.1,15.5,15.7,7.5,2.8,25.7,77.3,16.3,6.2,7.1,14.8,20.0,0,0
29,1085,Alabama,Lowndes County,10362.0,52.7504342790967,0.7,24.3,74.4,29785,18976,23.0,17.4,26.5,11.1,1.8,30.3,79.3,16.4,3.4,11.2,30.2,48.4,1,1
30,1087,Alabama,Macon County,19358.0,53.85370389503048,1.6,15.5,81.5,32308,19564,29.4,24.0,19.6,10.6,1.6,22.5,77.7,17.3,4.8,14.5,25.9,39.3,1,1
31,1089,Alabama,Madison County,353213.0,51.14336108806867,4.7,65.1,24.0,61318,34232,46.3,15.2,10.5,6.3,3.4,21.3,76.3,19.0,4.5,6.5,13.6,20.0,0,0
32,1095,Alabama,Marshall County,94738.0,50.63121450737824,13.3,81.8,2.2,41104,22710,28.3,15.6,20.9,10.8,2.4,23.9,79.2,13.5,7.2,6.5,21.0,34.1,1,1
33,1099,Alabama,Monroe County,21745.0,52.379857438491605,1.3,54.5,40.8,26036,17264,28.7,18.5,18.5,3.6,2.7,24.7,75.9,18.9,5.2,21.6,33.7,43.5,1,1
34,1103,Alabama,Morgan County,119157.0,50.68606963921549,8.0,76.4,12.3,47529,25013,30.3,16.2,19.0,7.1,1.5,24.1,81.9,12.8,5.0,6.5,16.6,24.6,0,1
35,1107,Alabama,Pickens County,20170.0,52.39960337134358,4.1,54.1,40.5,36220,20089,22.6,17.4,24.9,10.6,4.0,29.5,77.0,18.1,4.6,12.2,22.9,34.8,1,1
36,1111,Alabama,Randolph County,22530.0,51.18508655126498,3.0,75.3,19.4,39485,20983,23.4,13.4,29.3,9.1,4.0,26.3,79.4,12.1,8.3,5.8,18.7,29.7,1,1
37,1113,Alabama,Russell County,58480.0,51.3953488372093,5.2,47.8,42.4,38988,21279,28.7,20.2,16.4,8.5,2.8,24.1,76.1,20.0,3.8,9.7,20.9,29.2,1,1
38,1115,Alabama,St. Clair County,86937.0,49.999424870883516,2.3,86.2,9.3,53483,24686,28.9,15.7,17.2,8.6,2.9,29.7,83.2,11.1,5.5,5.8,13.7,17.0,0,0
39,1117,Alabama,Shelby County,208721.0,51.40881847058992,5.8,78.5,11.7,74063,35330,44.3,13.7,7.7,7.3,4.9,28.0,82.2,12.7,4.9,4.3,8.3,10.1,0,0
40,1119,Alabama,Sumter County,13084.0,53.89024763069398,0.3,24.6,70.7,21663,14739,25.5,26.9,20.1,7.3,1.8,26.1,73.4,23.6,3.0,13.4,36.0,47.4,1,1
41,1121,Alabama,Talladega County,80888.0,51.61210562753437,2.2,63.1,32.1,39219,21382,28.6,16.3,22.5,10.3,2.6,24.8,79.0,15.9,4.9,10.0,19.3,28.8,1,1
42,1123,Alabama,Tallapoosa County,40756.0,51.8696633624497,2.4,68.9,27.2,42181,22430,28.3,15.1,23.9,10.1,2.9,25.2,81.2,13.8,4.7,9.2,21.2,35.9,1,1
43,1125,Alabama,Tuscaloosa County,204424.0,51.705768402927255,3.5,62.4,31.2,50513,24895,35.8,17.5,17.2,8.5,3.1,22.3,77.4,18.5,4.0,6.7,17.3,21.4,1,0
44,1127,Alabama,Walker County,64927.0,51.162074329631736,2.4,89.4,6.0,38872,21217,26.3,17.7,18.3,10.5,1.4,29.2,79.9,14.3,5.7,10.0,21.5,31.4,1,1
45,1129,Alabama,Washington County,16746.0,50.18511883434849,0.5,65.1,24.6,42185,23239,20.6,15.7,22.4,13.5,1.8,35.2,79.0,15.6,5.2,11.0,22.0,34.3,1,1
46,1131,Alabama,Wilcox County,10919.0,53.32905943767744,0.5,26.9,72.1,27012,15774,24.4,21.0,28.6,7.5,2.4,25.0,76.4,18.9,4.7,17.2,31.9,41.9,1,1
47,1133,Alabama,Winston County,23968.0,50.559078771695596,3.0,94.1,0.5,35362,20580,23.3,15.1,27.2,12.5,2.3,27.8,75.8,14.5,9.6,9.4,18.7,29.2,1,1
48,2013,Alaska,Aleutians East Borough,3338.0,38.61593768723787,9.7,15.5,4.8,66607,31254,16.3,13.6,45.3,5.8,5.3,5.1,70.9,21.0,8.1,2.4,16.7,20.0,1,0
49,2020,Alaska,Anchorage Municipality,298225.0,48.927487635174785,8.9,59.2,5.2,82271,38977,40.0,17.4,9.5,11.7,3.8,18.9,73.2,21.1,5.5,5.8,8.1,11.5,0,0
50,2050,Alaska,Bethel Census Area,17957.0,47.45781589352342,2.2,10.2,0.7,53853,18654,36.2,19.7,10.6,13.6,4.1,7.4,51.9,46.4,1.7,19.3,27.0,33.2,1,1
51,2060,Alaska,Bristol Bay Borough,917.0,41.98473282442748,4.5,50.3,0.4,79500,42002,30.5,18.5,14.6,16.0,3.1,9.4,54.3,34.6,11.0,6.8,7.1,11.6,0,0
52,2090,Alaska,Fairbanks North Star Borough,100031.0,46.049724585378534,7.7,71.1,4.0,76250,35328,37.6,15.6,9.6,15.0,2.7,18.9,65.4,30.0,4.4,8.0,7.7,10.0,0,0
53,2105,Alaska,Hoonah-Angoon Census Area,2146.0,47.67008387698043,5.5,43.6,2.7,57900,33704,32.5,22.0,9.8,9.1,10.3,9.7,60.3,26.5,13.3,11.7,11.1,24.6,0,1
54,2110,Alaska,Juneau City and Borough,32434.0,48.62489979650984,6.4,65.4,1.0,90749,41904,46.3,14.5,7.8,14.5,4.3,15.6,53.4,38.3,8.2,4.8,7.4,12.3,0,0
55,2130,Alaska,Ketchikan Gateway Borough,13745.0,48.5994907238996,4.8,64.4,0.5,67321,33771,29.7,17.2,13.7,16.6,2.7,13.4,65.3,26.1,8.0,7.0,10.6,16.5,0,0
56,2150,Alaska,Kodiak Island Borough,13773.0,46.48950845857838,8.9,50.1,0.2,74167,32625,27.7,19.4,24.7,14.5,5.8,10.5,63.5,26.7,9.7,5.3,9.3,12.3,0,0
57,2158,Alaska,Kusilvak Census Area,8129.0,46.58629597736499,1.6,3.8,0.4,36468,11693,30.7,24.6,11.7,3.5,3.1,6.6,41.0,57.8,1.1,28.8,39.1,45.8,1,1
58,2164,Alaska,Lake and Peninsula Borough,1301.0,49.19292851652575,1.5,21.8,0.7,45208,23434,37.5,17.0,14.1,8.1,3.4,6.7,40.4,54.2,5.0,13.2,16.5,19.2,0,0
59,2170,Alaska,Matanuska-Susitna Borough,101135.0,47.825184159786424,4.6,79.9,1.0,74887,30409,32.1,17.3,10.1,11.8,6.4,34.5,71.9,20.0,7.9,9.8,9.8,11.3,0,0
60,2180,Alaska,Nome Census Area,9869.0,46.80312088357483,2.4,14.9,0.8,53821,20952,34.3,24.1,9.2,10.8,4.5,7.0,51.7,43.1,5.0,16.6,24.9,30.0,1,1
61,2185,Alaska,North Slope Borough,9757.0,37.51153018345803,4.1,31.3,0.5,77266,48777,31.9,15.4,18.0,15.3,2.3,6.1,71.3,28.0,0.7,9.5,10.2,16.7,0,0
